invoice_line_no,date,store,name,city,zipcode,county,category,category_name,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters
INV-200812,2026-02-09,2633,HOMETOWN FOODS,CEDAR RAPIDS,52402,LINN,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,1,13.49,1.75
INV-200813,2026-05-03,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,3,40.47,5.25
INV-200814,2026-06-03,2648,WILKIE LIQUORS,IOWA CITY,52240,JOHNSON,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,1,26.99,0.75
INV-200815,04/10/2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,9,121.41,15.75
INV-200816,2026-04-15,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,1,37.49,0.75
INV-200817,2026-02-25,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75 ,14.63 ,1,14.63 ,1.75
INV-200818,01-Feb-2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,$8.25,$12.38,8,$99.04,6.00
INV-200819,2026-04-18,2648,Wilkie Liquors,Iowa City,52240,JOHNSON,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,$24.99,$37.49,4,$149.96,3.00
INV-200820,2026-04-25,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313.0,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,,18.75,2,37.50,1.50
INV-200821,04/01/2026,4829,Casey's General Store #2879,ANKENY,50021,,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,1,26.99,0.75
INV-200822,10-Mar-2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,$4.50,$6.75,1,$6.75,1.00
INV-200823,2026-04-30,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99 ,37.49 ,2,74.98 ,1.50
INV-200824,2026-04-24,3385,SAM'S CLUB 8162,DAVENPORT,52807,SCOTT,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,5,187.45,3.75
INV-200825,04/01/2026,4829,Casey's General Store #2879,ANKENY,50021,POLK,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,4,149.96,3.00
INV-200826,2026-02-05,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,1,6.75,1.00
INV-200827,04/25/2026,5102,Corner Tap & Bottle,AMES,50010,STORY,1081600,,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,$11.00,$12.10,4,$48.40,1.50
INV-200828,05/21/2026,3385,SAM'S CLUB 8162,DAVENPORT,52807,SCOTT,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,1,12.38,0.75
INV-200829,06/08/2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,1,18.75,0.75
INV-200830,06/06/2026,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25 ,12.38 ,1,12.38 ,0.75
INV-200831,2026-03-12,2501,Hy-Vee #3 / BDI / Des Moines ,DES MOINES,50313,POLK,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,3,80.97,2.25
INV-200832,2026-07-22,4829,  Casey's General Store #2879,ANKENY,50021.0,POLK,1081600,N/A,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00,12.10,10,121.00,3.75
INV-200833,2026-07-05,5102,Corner Tap and Bottle,AMES,50010,STORY,1081600,-,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,N/A,$12.10,8,$96.80,3.00
INV-200834,02/01/2026,3385,Sam's Club 8162,DAVENPORT,52807,,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99 ,26.99 ,2,53.98 ,1.50
INV-200835,03/09/2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1081600,-,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00,12.10,2,24.20,0.75
INV-200836,2026-06-08,2633,Hometown Foods,CEDAR RAPIDS,52402.0,,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99 ,26.99 ,1,26.99 ,0.75
INV-200837,15-Mar-2026,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,1,37.49,0.75
INV-200838,04/30/2026,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313.0,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,1,18.75,0.75
INV-200839,2026-06-21,3385,Sam's Club 8162,Davenport,52807.0,SCOTT,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,1,13.49,1.75
INV-200840,05/16/2026,5102,CORNER TAP & BOTTLE,AMES,50010,STORY,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,$8.25,$12.38,12,$148.56,9.00
INV-200841,12-Jul-2026,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75,14.63,1,14.63,1.75
INV-200842,2026-06-28,5102,Corner Tap & Bottle,AMES,50010,STORY,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50 ,6.75 ,3,20.25 ,3.00
INV-200843,2026-02-10,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,6,74.28,4.50
INV-200844,02/08/2026,2648,WILKIE LIQUORS,IOWA CITY,52240,JOHNSON,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,$4.50,$6.75,4,$27.00,4.00
INV-200845,04/14/2026,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1081600,-,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00 ,12.10 ,4,48.40 ,1.50
INV-200846,02/05/2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,1,37.49,0.75
INV-200847,05/19/2026,5102,Corner Tap & Bottle,AMES,50010,STORY,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,$8.25,$12.38,4,$49.52,3.00
INV-200848,08-Jun-2026,2190,"CENTRAL CITY LIQUOR, INC.",DES MOINES,50310,POLK,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,$17.99,$26.99,1,$26.99,0.75
INV-200849,2026-06-07,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99 ,37.49 ,1,37.49 ,0.75
INV-200850,06/09/2026,2633,Hometown Foods,CEDAR RAPIDS,52402.0,LINN,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75,14.63,6,87.78,10.50
INV-200851,04/20/2026,4829,CASEY'S GENERAL STORE #2879,ANKENY,50021,POLK,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75 ,14.63 ,-1,-14.63 ,-1.75
INV-200852,04/03/2026,3385,Sam's Club 8162,DAVENPORT,52807.0,SCOTT,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,$9.75,$14.63,8,$117.04,14.00
INV-200853,07/22/2026,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,2,24.76,1.50
INV-200854,2026-07-15,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,2,24.76,1.50
INV-200855,06/15/2026,3385,Sam's Club 8162 ,DAVENPORT,52807,SCOTT,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,$9.75,$14.63,1,$14.63,1.75
INV-200856,2026-04-18,2648,WILKIE LIQUORS,Iowa City,52240,JOHNSON,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75 ,14.63 ,5,73.15 ,8.75
INV-200857,05/16/2026,2633,Hometown Foods,CEDAR RAPIDS,52402.0,LINN,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,5,61.90,3.75
INV-200858,2026-04-05,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1081600,-,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00,12.10,3,36.30,1.12
INV-200859,2026-07-03,5102,CORNER TAP & BOTTLE,AMES,50010,STORY,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,N/A,26.99,1,26.99,0.75
INV-200860,2026-02-12,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,1,12.38,0.75
INV-200861,07/05/2026,4829,Casey's General Store #2879,ANKENY,50021,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,4,75.00,3.00
INV-200862,2026-05-23,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1081600,,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00,12.10,1,12.10,0.38
INV-200863,08-Mar-2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,2,53.98,1.50
INV-200864,2026-02-22,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,2,74.98,1.50
INV-200865,05/03/2026,4829,Casey's General Store #2879,ANKENY,50021,POLK,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,1,37.49,0.75
INV-200866,2026-02-09,3385,  Sam's Club 8162,DAVENPORT,52807,SCOTT,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75 ,14.63 ,1,14.63 ,1.75
INV-200867,2026-02-27,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99 ,13.49 ,1,13.49 ,1.75
INV-200868,06/07/2026,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313.0,POLK,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75,14.63,2,29.26,3.50
INV-200869,05/03/2026,2501,HY-VEE #3 / BDI / DES MOINES,DES MOINES,50313,POLK,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,2,24.76,1.50
INV-200870,2026-06-11,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75 ,14.63 ,1,14.63 ,1.75
INV-200871,2026-07-20,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,$9.75,$14.63,1,$14.63,1.75
INV-200872,04-Jul-2026,5102,  Corner Tap & Bottle,AMES,50010,STORY,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99 ,13.49 ,1,13.49 ,1.75
INV-200873,2026-02-27,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,3,40.47,5.25
INV-200874,2026-05-31,2501,Hy-Vee #3 / BDI / Des Moines,Des Moines,50313,POLK,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50 ,6.75 ,2,13.50 ,2.00
INV-200875,02/13/2026,4829,Casey's General Store #2879,ANKENY,50021.0,POLK,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,5,67.45,8.75
INV-200876,2026-04-15,4829,CASEY'S GENERAL STORE #2879,ANKENY,50021.0,POLK,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75 ,14.63 ,3,43.89 ,5.25
INV-200877,03/09/2026,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,$9.75,$14.63,5,$73.15,8.75
INV-200878,04/18/2026,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,3,40.47,5.25
INV-200879,16-Apr-2026,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,1,26.99,0.75
INV-200880,14-Feb-2026,5102,Corner Tap & Bottle,AMES,50010,STORY,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,$4.50,$6.75,9,$60.75,9.00
INV-200881,2026-03-09,2190,"CENTRAL CITY LIQUOR, INC.",DES MOINES,50310,POLK,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75,14.63,9,131.67,15.75
INV-200882,03/14/2026,4829,Casey's General Store #2879,ANKENY,50021.0,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,6,112.50,4.50
INV-200883,2026-07-14,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,5,134.95,3.75
INV-200884,2026-05-01,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,6,161.94,4.50
INV-200885,03/18/2026,5102,Corner Tap & Bottle,Ames,50010,STORY,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,$17.99,$26.99,7,$188.93,5.25
INV-200886,02/13/2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,2,24.76,1.50
INV-200887,2026-04-29,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1081600,N/A,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,,12.10,12,145.20,4.50
INV-200888,14-May-2026,5102,Corner Tap and Bottle,AMES,50010,,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,10,134.90,17.50
INV-200889,07/01/2026,3385,  Sam's Club 8162,DAVENPORT,52807,SCOTT,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,1,37.49,0.75
INV-200890,03/27/2026,4829,  Casey's General Store #2879,ANKENY,50021,POLK,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,5,134.95,3.75
INV-200891,2026-07-24,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,$9.75,$14.63,7,$102.41,12.25
INV-200892,28-Feb-2026,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,1,13.49,1.75
INV-200893,2026-04-25,4829,CASEY'S GENERAL STORE #2879,ANKENY,50021,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,3,56.25,2.25
INV-200894,2026-06-05,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,$8.99,$13.49,2,$26.98,3.50
INV-200895,04-Jun-2026,5102,Corner Tap & Bottle,AMES,50010,STORY,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,$8.99,$13.49,2,$26.98,3.50
INV-200896,09-May-2026,5102,Corner Tap & Bottle,AMES,50010,STORY,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,4,75.00,3.00
INV-200897,30-Apr-2026,3385,SAM'S CLUB 8162,DAVENPORT,52807,SCOTT,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,5,33.75,5.00
INV-200898,2026-02-17,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,$4.50,$6.75,3,$20.25,3.00
INV-200899,04-Feb-2026,2501,HY-VEE #3 / BDI / DES MOINES,DES MOINES,50313,,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,$8.99,$13.49,1,$13.49,1.75
INV-200900,2026-04-13,4829,Casey's General Store #2879,ANKENY,50021,POLK,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,2,26.98,3.50
INV-200901,23-Feb-2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,1,18.75,0.75
INV-200902,27-Apr-2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50 ,18.75 ,12,225.00 ,9.00
INV-200903,2026-03-22,4829,  Casey's General Store #2879,Ankeny,50021,POLK,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99 ,37.49 ,3,112.47 ,2.25
INV-200904,07/21/2026,4829,CASEY'S GENERAL STORE #2879,ANKENY,50021,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,$12.50,$18.75,5,$93.75,3.75
INV-200905,03/08/2026,5102,Corner Tap & Bottle,AMES,50010,STORY,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75,14.63,3,43.89,5.25
INV-200906,2026-04-25,2648,WILKIE LIQUORS,IOWA CITY,52240,JOHNSON,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,$12.50,$18.75,7,$131.25,5.25
INV-200907,2026-07-20,5102,Corner Tap & Bottle,AMES,50010,STORY,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,2,26.98,3.50
INV-200908,04/09/2026,2633,Hometown Foods,CEDAR RAPIDS,52402.0,LINN,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25 ,12.38 ,2,24.76 ,1.50
INV-200909,07/11/2026,2648,  Wilkie Liquors,IOWA CITY,52240,JOHNSON,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,1,13.49,1.75
INV-200910,2026-04-12,2190,"  Central City Liquor, Inc.",DES MOINES,50310,POLK,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,4,53.96,7.00
INV-200910,2026-04-12,2190,"  Central City Liquor, Inc.",DES MOINES,50310,POLK,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,4,53.96,7.00
INV-200911,2026-06-03,2190,"Central City Liquor, Inc.",Des Moines,50310,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,3,56.25,2.25
INV-200912,22-Jun-2026,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,8,54.00,8.00
INV-200913,2026-05-26,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313.0,POLK,1081600,-,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,$11.00,$12.10,2,$24.20,0.75
INV-200914,04/01/2026,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50 ,18.75 ,3,56.25 ,2.25
INV-200915,2026-05-11,2648,  Wilkie Liquors,IOWA CITY,52240,JOHNSON,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,1,12.38,0.75
INV-200916,2026-03-01,5102,Corner Tap & Bottle ,AMES,50010,STORY,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50 ,18.75 ,1,18.75 ,0.75
INV-200917,02-Jul-2026,4829,Casey's General Store #2879,Ankeny,50021,POLK,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50 ,6.75 ,4,27.00 ,4.00
INV-200918,07/09/2026,2633,  Hometown Foods,CEDAR RAPIDS,52402.0,LINN,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,1,37.49,0.75
INV-200919,2026-04-20,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,2,13.50,2.00
INV-200920,06/03/2026,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,1,12.38,0.75
INV-200921,2026-07-26,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,1,12.38,0.75
INV-200922,2026-03-15,2648,  Wilkie Liquors,IOWA CITY,52240,JOHNSON,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,1,6.75,1.00
INV-200923,01/31/2026,2501,Hy-Vee #3 / BDI / Des Moines,Des Moines,50313,POLK,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,6,224.94,4.50
INV-200924,2026-03-28,4829,Casey's General Store #2879,ANKENY,50021,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,$12.50,$18.75,1,$18.75,0.75
INV-200925,05/01/2026,4829,Casey's General Store #2879,ANKENY,50021,POLK,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,3,112.47,2.25
INV-200926,05/01/2026,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,1,12.38,0.75
INV-200927,2026-06-25,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,N/A,13.49 ,10,134.90 ,17.50
INV-200928,2026-07-25,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,1,12.38,0.75
INV-200929,03/02/2026,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,3,40.47,5.25
INV-200930,02/03/2026,4829,  Casey's General Store #2879,ANKENY,50021,POLK,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,$24.99,$37.49,4,$149.96,3.00
INV-200931,04-Jul-2026,3385,SAM'S CLUB 8162,DAVENPORT,52807.0,SCOTT,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,2,26.98,3.50
INV-200932,2026-02-09,4829,Casey's General Store #2879,ANKENY,50021,POLK,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,3,40.47,5.25
INV-200933,07/08/2026,2633,  Hometown Foods,CEDAR RAPIDS,52402,LINN,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,1,6.75,1.00
INV-200934,2026-02-21,2190,Central City Liquor INC,DES MOINES,50310,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,4,75.00,3.00
INV-200935,03-May-2026,5102,Corner Tap & Bottle,AMES,50010,STORY,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99 ,37.49 ,6,224.94 ,4.50
INV-200936,2026-03-26,2190,"Central City Liquor, Inc.",DES MOINES,50310.0,POLK,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,1,13.49,1.75
INV-200937,05/24/2026,2501,Hy-Vee #3 / BDI / Des Moines,Des Moines,50313,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,5,93.75,3.75
INV-200938,2026-03-30,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99 ,26.99 ,2,53.98 ,1.50
